codigomunicipio,codigodepartamento,zika,poblacintotal,altitud,zikaEv1516100000h
5001,5,237,2476455.875,1479,9.5701284
5002,5,2,19238.54166666667,2125,10.395799
5004,,0,,1920,
5021,5,0,3449.208333333334,1650,0
5030,5,2,29671.45833333333,1392,6.7404842
5031,5,1,22177.375,1550,4.5091
5034,5,0,46034.45833333334,1357,0
5036,5,0,9019.666666666666,1917,0
5038,,0,11294.41666666667,1637,0
5040,5,0,17204.08333333333,1535,0
5042,5,16,24643.79166666667,550,64.925072
5044,,0,7574.5,620,0
5045,5,227,181213.9583333333,80,125.26629
5051,5,8,40722.25,4,19.645281
5055,5,0,8633.458333333334,1750,0
5059,5,3,4155.833333333334,1808,72.187691
5079,5,0,50476.66666666666,1301,0
5086,5,2,6794.125,2520,29.437197
5088,5,28,460604.0416666667,1495,6.0789742
5091,5,1,9232.916666666666,1550,10.830813
5093,5,0,17576.66666666667,1615,0
5101,5,3,27015.20833333333,1230,11.104856
5107,,0,8697.125,2260,0
5113,5,0,6582.041666666667,1643,0
5120,5,41,38371.5,85,106.85014
5125,5,0,8242.916666666666,1820,0
5129,5,3,78339.375,1750,3.8294919
5134,,0,,1700,
5138,5,1,16756.5,1300,5.9678335
5142,5,0,4580.916666666667,651,0
5145,5,0,5350.083333333333,2115,0
5147,5,30,56563.66666666666,40,53.037579
5148,5,1,47070.04166666666,2150,2.1244936
5150,,0,,1807,
5154,5,36,113648.9166666667,50,31.6765
5172,5,81,77256.08333333333,40,104.84612
5190,5,0,9025.5,1038,0
5197,5,1,14967.66666666667,1286,6.6810679
5206,5,0,3415.333333333334,1862,0
5209,5,0,20605.33333333333,2000,0
5212,5,3,70638.08333333333,1407,4.2470007
5234,5,0,23324.91666666667,450,0
5237,,0,22500.29166666666,2156,0
5240,5,0,12512.29166666667,1125,0
5250,5,2,49761.75,52,4.0191512
5264,5,0,10032.33333333333,2300,0
5266,5,5,225265.7083333333,1550,2.2196012
5282,5,1,21487.875,1800,4.6537871
5284,5,1,16450.33333333333,1317,6.0789042
5306,5,0,4018.166666666667,1932,0
5308,5,1,54917.08333333334,1351,1.820927
5310,5,0,12893.41666666667,1828,0
5313,5,1,9862.791666666666,2050,10.139117
5315,5,0,6303.25,1850,0
5318,5,1,48263.91666666666,2150,2.0719411
5321,5,2,5253,1850,38.073483
5347,5,1,5868.625,1440,17.039766
5353,5,1,4871.708333333333,1000,20.52668
5360,5,31,269504.1666666667,1569,11.502605
5361,5,0,20796.66666666667,1575,0
5364,5,0,13707.375,1805,0
5368,5,1,12055.875,1967,8.2947111
5376,5,0,53068.58333333334,2179,0
5380,5,2,62882.625,1763,3.1805289
5390,5,4,6530.375,600,61.252224
5400,5,1,19178.58333333333,2473,5.2141495
5411,5,0,9540.958333333334,820,0
5425,5,1,6811.666666666667,950,14.680695
5440,5,0,53813.83333333334,2100,0
5467,5,0,6132,2350,0
5475,,0,4647.708333333336,23,0
5480,5,6,20863.875,238,28.757841
5483,5,4,17396.625,1900,22.992966
5490,5,28,63245.75,50,44.271748
5495,5,30,26941.45833333333,30,111.35255
5501,5,1,3259.208333333334,430,30.682297
5541,5,1,15866.79166666667,1900,6.3024712
5543,5,0,11000.29166666667,1200,0
5576,5,0,6966.625,1800,0
5579,5,12,47334.75,123,25.351355
5585,5,3,18758,140,15.993176
5591,5,5,20290.04166666667,150,24.64263
5604,5,30,29577.625,680,101.42802
5607,5,0,19217.41666666667,2179,0
5615,5,0,121322.5833333333,2120,0
5628,,0,8191,1250,0
5631,5,1,52235.91666666666,1600,1.9143916
5642,5,1,17570.625,1270,5.6913171
5647,5,2,6171.833333333333,1530,32.405281
5649,5,3,16075.91666666667,1010,18.661455
5652,5,0,5266,1286,0
5656,5,0,12683.20833333333,750,0
5658,,0,3352.25,2580,0
5659,5,4,25430.16666666667,10,15.72935
5660,5,0,10938.45833333333,1050,0
5664,5,2,26844.95833333333,2450,7.4501886
5665,5,19,31420.29166666667,247,60.470478
5667,5,1,12947.5,1000,7.7234988
5670,5,1,16720.75,1457,5.9805932
5674,5,0,17072.41666666667,2197,0
5679,5,1,21989.875,1806,4.5475473
5686,5,0,35895.375,2587,0
5690,5,1,10348.83333333333,1950,9.6629248
5697,5,0,27150.33333333333,2100,0
5736,5,2,40452.41666666666,650,4.9440804
5756,5,0,35215.95833333334,2475,0
5761,5,33,14763.70833333333,725,223.52107
5789,5,2,14638.29166666667,1368,13.662796
5790,5,5,43299.125,83,11.547578
5792,5,0,7823.125,1335,0
5809,5,0,14447.70833333333,1550,0
5819,,0,6415.708333333336,1634,0
5837,5,197,161573.875,2,121.92565
5842,5,1,8233.666666666666,1500,12.145257
5847,5,1,44982.75,1790,2.2230744
5854,5,0,22490.45833333333,1102,0
5856,5,0,6162.083333333333,1358,0
5858,5,0,9353.208333333334,1018,0
5861,5,1,13241.08333333333,1335,7.5522523
5873,,0,5586.5,25,0
5885,5,1,8362.416666666666,1200,11.958265
5887,5,1,47174.29166666666,2265,2.1197987
5890,5,2,24188.75,1450,8.2683067
5893,5,12,18818.29166666667,30,63.767742
5895,5,43,30949.79166666667,52,138.93469
5999,,0,,,
8000,,0,,,
8001,,0,1221471.5,68,0
8078,8,1,58158.79166666666,100,1.7194304
8137,8,2,15885.625,7,12.589999
8141,8,2,12491.33333333333,8,16.011101
8296,8,14,43357,83,32.290058
8372,8,1,16927.875,50,5.9074159
8421,8,0,27073.41666666667,31,0
8433,8,40,122355.6666666667,10,32.691578
8436,8,2,15825.91666666667,10,12.637499
8520,8,6,25417.08333333333,10,23.606171
8549,,0,5137.791666666671,314,0
8558,8,4,15350.16666666667,80,26.05835
8560,8,0,22427.91666666667,10,0
8573,8,18,27041.25,5,66.564972
8606,8,2,26283.16666666667,9,7.6094332
8634,8,16,32032.25,9,49.949661
8638,8,2,98752.375,99,2.0252678
8675,8,4,11534.16666666667,8,34.679577
8685,8,9,25392.625,8,35.443363
8758,8,295,624532.9583333334,5,47.235298
8770,8,0,8704.333333333334,8,0
8832,8,5,11022.16666666667,203,45.363132
8849,8,2,9413.833333333334,95,21.245331
9001,9,1177,,,
11001,11,38,7933609.416666667,2600,.47897494
11103,,0,,,
11112,,0,,,
11114,,0,,,
11116,,0,,,
11174,,0,,,
11175,,0,,,
11180,,0,,,
11185,,0,,,
11192,,0,,,
11197,,0,,,
13000,,0,,,
13001,,0,1008025.333333333,2,0
13006,13,2,23267.66666666667,25,8.5956192
13030,13,0,13819.04166666667,22,0
13042,13,1,19106.75,65,5.2337523
13052,13,3,73259.875,62,4.0950112
13062,13,2,9977.958333333334,,20.04418
13074,13,5,17945.125,25,27.86272
13140,13,1,23471.04166666667,10,4.2605691
13160,13,1,9322.416666666666,62,10.726832
13188,13,26,11121.25,9,233.78667
13212,13,14,12410.08333333333,20,112.81149
13222,13,4,12601.20833333333,60,31.742987
13244,13,7,75638.5,154,9.2545462
13248,13,1,7764.041666666667,77,12.879889
13268,,0,9588.541666666672,24,0
13300,13,0,12010,17.799999,0
13430,13,12,123789,127,9.6939144
13433,13,0,25970.16666666667,10,0
13440,13,0,9924.75,25,0
13442,13,1,48274,14,2.0715084
13458,13,13,21506.875,26,60.445789
13468,13,3,44306,33,6.7710919
13473,13,4,21354.79166666667,50,18.731159
13490,13,0,5189.375,,0
13549,13,0,25065.45833333333,25,0
13580,13,1,10593.54166666667,34,9.4397135
13600,13,1,18235.79166666667,50,5.4837213
13620,13,4,6682.541666666667,9,59.857464
13647,13,1,16317.66666666667,10,6.1283274
13650,13,0,13803.375,25,0
13654,13,2,21554.41666666667,237,9.278841
13655,13,0,13586.875,25,0
13657,13,4,33551.04166666666,156,11.922133
13667,13,0,17508.41666666667,30,0
13670,13,1,33692.91666666666,75,2.9679828
13673,,0,13238.875,34,0
13683,13,1,22869.875,20,4.3725643
13688,13,1,42521.375,20,2.3517585
13744,13,1,20436.20833333333,50,4.8932757
13760,,0,8450.75,10,0
13780,,0,11367.33333333334,30,0
13810,13,1,22275.54166666667,25,4.4892287
13836,13,12,72715.625,180,16.502644
13838,13,1,14963.16666666667,120,6.6830773
13873,13,2,19816.66666666667,100,10.092515
13894,,0,11657.58333333334,20,0
14001,14,231,,,
15001,15,7,190299.6666666667,2820,3.6784089
15022,,0,,1925,
15047,,0,15160.16666666668,3046,0
15051,,0,,2739,
15087,15,1,7321.458333333333,2650,13.658481
15090,15,0,1933.083333333333,1525,0
15092,,0,,2575,
15097,15,1,6989.625,2114,14.306919
15104,15,2,4440.583333333333,2475,45.039127
15106,15,0,2568,1500,0
15109,,0,,2155,
15114,,0,,2480,
15131,,0,3615.791666666668,2660,0
15135,15,1,3828.583333333334,1300,26.119322
15162,,0,,2725,
15172,15,0,3512.291666666667,1763,0
15176,,0,65788.58333333333,2587,0
15180,,0,,2368,
15183,,0,9453.041666666695,3000,0
15185,15,2,5637.708333333333,1633,35.475407
15187,,0,,2903,
15189,,0,4722.041666666664,2460,0
15204,15,0,14812,2825,0
15212,15,0,3634.291666666667,960,0
15215,,0,,2400,
15218,15,0,2841.5,2320,0
15223,15,5,6727.708333333333,355,74.319511
15224,,0,4689.875,2640,0
15226,,0,,2727,
15232,,0,,2500,
15236,,0,1770.083333333332,1803,0
15238,15,1,112915.7083333333,2530,.88561636
15244,,0,5222.041666666671,2700,0
15248,,0,4201.5,2150,0
15272,,0,,2494,
15276,,0,,2500,
15293,,0,,2425,
15296,,0,,2750,
15299,15,0,16960.25,1703,0
15317,,0,,2296,
15322,15,1,9575.375,1817,10.443455
15325,,0,,1767,
15332,,0,,2963,
15362,,0,,2550,
15367,,0,,2072,
15368,,0,,3050,
15377,15,0,5082.208333333333,1210,0
15380,15,0,2522.375,1754,0
15401,15,0,1674,1250,0
15403,15,0,2475.333333333333,2370,0
15407,15,0,16752.08333333333,2145,0
15425,15,3,4824.25,1860,62.185833
15442,15,1,7449.666666666667,1250,13.423419
15455,15,0,9778.083333333334,1720,0
15464,,0,,2975,
15466,,0,,2920,
15469,15,3,21371.125,1650,14.037633
15476,,0,,2871,
15480,15,68,8971.75,815,757.93463
15491,,0,,2510,
15494,,0,6627.25,2450,0
15500,,0,,2815,
15507,15,2,10665.95833333333,1050,18.751245
15511,,0,,1986,
15514,15,1,2888.083333333334,1980,34.625038
15516,15,0,30892.20833333333,2517,0
15518,15,37,1692.458333333333,800,2186.1689
15522,,0,,2258,
15531,15,0,10788.29166666667,1215,0
15533,15,1,2542.958333333334,980,39.324276
15537,,0,,2200,
15542,,0,,2678,
15550,,0,,1480,
15572,15,21,55507,150,37.833065
15580,15,0,7820.916666666665,1200,0
15599,,0,,2325,
15600,,0,,2152,
